"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"294","Josh Brown","BOS, OTT","D","52","634.46666666667","0","6","4","2","6","28.57"
"313","Robert Hagg","BUF, FLA","D","64","884.63333333333","0","6","3","3","6","19.35"
"383","Max Willman","PHI","C","41","461.63333333333","4","2","0","2","6","50.00"
"405","Travis Dermott","TOR, VAN","D","60","865.83333333333","1","5","2","3","6","15.79"
"429","Nicolas Meloche","S.J","D","50","765.7","2","4","1","3","6","23.08"
"430","Jeremy Lauzon","NSH, SEA","D","66","1007.8666666667","2","4","3","1","6","18.18"
"470","Julien Gauthier","NYR","R","49","477.15","2","4","2","2","6","46.15"
"480","Kale Clague","L.A, MTL","D","36","503.25","2","4","2","2","6","50.00"
"490","Victor Mete","OTT","D","37","451.11666666667","0","6","6","0","6","60.00"
"500","Henrik Borgstrom","CHI","C","52","501.68333333333","4","2","0","2","6","60.00"
"516","Casey Fitzgerald","BUF","D","36","548.73333333333","0","6","3","3","6","31.58"
"531","Jake Leschyshyn","VGK","C","41","425.91666666667","2","4","3","1","6","46.15"
"614","Cam York","PHI","D","30","454.7","2","4","2","2","6","33.33"
"160","Patrik Nemeth","NYR","D","63","923.06666666667","2","3","2","1","5","17.86"
"279","Kurtis MacDermid","COL","D","58","420.45","2","3","2","1","5","27.78"
"336","Joel Hanley","DAL","D","44","489.75","2","3","3","0","5","38.46"
"434","Kyle Capobianco","ARI","D","45","661.9","0","5","3","2","5","18.52"
"517","Dylan Gambrell","OTT","C","63","663.75","2","3","2","1","5","29.41"
"556","Erik Brannstrom","OTT","D","53","846.78333333333","0","5","3","2","5","22.73"
"602","Simon Benoit","ANA","D","53","702.25","1","4","1","3","5","20.83"
"23","Andrej Sekera","DAL","D","32","406.83333333333","1","3","1","2","4","33.33"
"66","Riley Nash","ARI, T.B, WPG","C","49","451.9","0","4","3","1","4","44.44"
"70","Robert Bortuzzo","STL","D","73","834.78333333333","1","3","0","3","4","17.39"
"157","Greg McKegg","NYR","C","43","405.38333333333","2","2","1","1","4","57.14"
"286","Kyle Burroughs","VAN","D","42","512.26666666667","1","3","1","2","4","30.77"
"295","John Hayden","BUF","C","55","554.91666666667","2","2","0","2","4","40.00"
"350","Haydn Fleury","SEA","D","36","530.88333333333","2","2","1","1","4","22.22"
"591","Ryan Merkley","S.J","D","39","523.03333333333","1","3","3","0","4","30.77"
